Date,ticker,asset_class,Open,High,Low,Close,Volume,simple_return,log_return,historical_volatility_20d,daily_sentiment,predicted_volatility_t1,sentiment_zscore
2019-01-01,BNB-USD,Cryptocurrency,6.191431999206543,6.191928863525391,5.885121822357178,6.075273036956787,23891162,-0.0145114082352159,-0.0146177285448647,0.9600144212009252,0.15322343,0.9319932657118728,0.08051965660408869
2019-01-01,BTC-USD,Cryptocurrency,3746.71337890625,3850.913818359375,3707.231201171875,3843.52001953125,4324200990,0.0269376568360508,0.0265812249520003,0.743076944221178,0.15322343,0.7209896114352308,0.08051965660408869
2019-01-01,ETH-USD,Cryptocurrency,133.41815185546875,141.3975067138672,132.6507110595703,140.8194122314453,2258709868,0.0558690415634393,0.0543641639227531,1.1945050778014394,0.15322343,1.1751300293904932,0.08051965660408869
2019-01-02,AGG,Fixed_Income,86.89946273271701,86.9483952100304,86.8342152814062,86.915771484375,11200700,0.0007516909972857,0.0007514086191066,0.0226904960619927,-0.11096813,0.0242531313215203,-2.2184898656384617
2019-01-02,BNB-USD,Cryptocurrency,6.091464996337891,6.2078728675842285,5.949006080627441,6.188612937927246,30308610,0.0186559353433164,0.0184840479046105,0.904049010094635,-0.11096813,0.8926392491210476,-2.2184898656384617
2019-01-02,BTC-USD,Cryptocurrency,3849.21630859375,3947.981201171875,3817.409423828125,3943.409423828125,5244856836,0.0259890422813662,0.025657066653891,0.7159959370482198,-0.11096813,0.708037372396518,-2.2184898656384617
2019-01-02,DBA,Commodities,14.665213138692549,14.769468942701712,14.665213138692549,14.691277503967283,253800,-0.001770837160546,-0.0017724069461675,0.0771310694475913,-0.11096813,0.0805693249603184,-2.2184898656384617
2019-01-02,DIA,Equities_US_Broad,200.0991059482953,204.22728625353508,199.98564208326744,203.6687164306641,5319500,0.0006859100329543,0.0006856749041796,0.2918798806386352,-0.11096813,0.2908093036769962,-2.2184898656384617
2019-01-02,EEM,Equities_Global,32.8341141405708,33.34461992718814,32.825607117271055,33.319095611572266,57198800,0.0025600033424784,0.0025567321156333,0.1995560514036025,-0.11096813,0.1978588361977507,-2.2184898656384617
2019-01-02,EFA,Equities_Global,46.93536377196435,47.477546664826384,46.91917879333083,47.46945571899414,38723200,-0.0020414957099799,-0.0020435824028135,0.1834247365136605,-0.11096813,0.1838343095150817,-2.2184898656384617
2019-01-02,ETH-USD,Cryptocurrency,141.51951599121094,156.92913818359375,140.6509552001953,155.0476837158203,3328240369,0.1010391341570859,0.0962544013024016,1.1939224824212589,-0.11096813,1.1809082722109103,-2.2184898656384617
2019-01-02,GLD,Commodities,121.3499984741211,121.75,120.87999725341795,121.33000183105467,12776200,0.0006598089159148,0.0006595913377135,0.0911132382696819,-0.11096813,0.0947996417146317,-2.2184898656384617
2019-01-02,IWM,Equities_US_Broad,120.70385419399793,123.44359519118797,120.12850412537414,122.97784423828124,27295100,0.0056761381272432,0.0056600895558563,0.3021580210220104,-0.11096813,0.3025651269526264,-2.2184898656384617
2019-01-02,QQQ,Equities_US_Broad,144.32265187506513,148.8724565319595,144.21750862573575,148.04087829589844,58576700,0.0040196978960513,0.004011640495457,0.368237991552985,-0.11096813,0.3673087776425986,-2.2184898656384617
2019-01-02,SLV,Commodities,14.460000038146973,14.65999984741211,14.449999809265137,14.5600004196167,12310400,0.0027548182225876,0.0027510306652945,0.1259297126222108,-0.11096813,0.1312531891281344,-2.2184898656384617
2019-01-02,SPY,Equities_US_Broad,220.61564101388456,225.30635670743425,220.58873557425875,224.382553100586,126925200,0.00104037807869,0.0010398372604878,0.2908335738892366,-0.11096813,0.2902355410398316,-2.2184898656384617
2019-01-02,TLT,Fixed_Income,99.44283727309326,99.85152884912378,99.18126867774072,99.84335327148438,19841500,0.0052668964134021,0.0052530748244976,0.0969274290030819,-0.11096813,0.0986658260511808,-2.2184898656384617
2019-01-02,URTH,Equities_Global,69.05600565981806,70.13777779866032,68.95846838402305,69.94270324707031,148800,0.0001267677666878,0.0001267597323335,0.2323818522476,-0.11096813,0.2312929678798454,-2.2184898656384617
2019-01-02,USO,Commodities,75.36000061035156,80.63999938964844,74.87999725341797,78.80000305175781,4137850,0.0196687926561942,0.0194778614833091,0.5209995106025428,-0.11096813,0.5025618778134915,-2.2184898656384617
2019-01-02,XLE,Sectors_US,20.386871644597747,21.264619793487817,20.28212086827277,21.12374687194824,49785200,0.0197035649255754,0.0195119624352567,0.3577735936728818,-0.11096813,0.3551259594848543,-2.2184898656384617
2019-01-02,XLF,Sectors_US,20.454291967417845,20.97719709490801,20.39328667396008,20.93362236022949,62945000,0.0083965615140215,0.0083615064825194,0.2806535991175141,-0.11096813,0.2800761848866666,-2.2184898656384617
2019-01-02,XLK,Sectors_US,28.41897474828331,29.205400163699103,28.381526854343942,29.03219985961914,30885800,0.0006453047309593,0.0006450966113903,0.3689896775168814,-0.11096813,0.3686955458415986,-2.2184898656384617
2019-01-02,XLV,Sectors_US,75.2556257197046,75.82989516527313,74.45164714781086,75.2732925415039,14179900,-0.0151428624761564,-0.0152586863759421,0.2781437358423476,-0.11096813,0.2819009448024538,-2.2184898656384617
2019-01-03,AGG,Fixed_Income,86.91573492963015,87.33167947887561,86.91573492963015,87.27458953857422,6497000,0.0041283422797866,0.0041198440558198,0.0251658114244903,0.051988292,0.0251657483335831,-0.8004340962241191
2019-01-03,BNB-USD,Cryptocurrency,6.1719069480896,6.175116062164307,5.901558876037598,5.903534889221191,22821639,-0.0460649343504646,-0.0471596752072832,0.9197916858846484,0.051988292,0.903596154456442,-0.8004340962241191
2019-01-03,BTC-USD,Cryptocurrency,3931.048583984375,3935.68505859375,3826.222900390625,3836.7412109375,4530215219,-0.0270497433632126,-0.027422321806192,0.7194875436830874,0.051988292,0.710122068106923,-0.8004340962241191
2019-01-03,DBA,Commodities,14.699964486418668,14.76077967692318,14.699964486418668,14.743403434753418,492200,0.0035480870041462,0.0035418073928064,0.0762605728948722,0.051988292,0.0783831371209361,-0.8004340962241191
2019-01-03,DIA,Equities_US_Broad,201.82727354744364,201.9756422693736,197.5594454632862,197.87364196777344,7350200,-0.0284534344029386,-0.0288660796642675,0.2969832788034997,0.051988292,0.2906781853946847,-0.8004340962241191
2019-01-03,EEM,Equities_Global,32.95323193886726,32.97875625448143,32.58736826838649,32.714996337890625,62767600,-0.0181307224158817,-0.0182970980385094,0.1905495722082243,0.051988292,0.1875510755019163,-0.8004340962241191
2019-01-03,EFA,Equities_Global,47.3561648626993,47.38044078763009,46.95964059600487,47.040565490722656,35012600,-0.0090350778574415,-0.0090761417038862,0.1744744126205065,0.051988292,0.1699887797986659,-0.8004340962241191
2019-01-03,ETH-USD,Cryptocurrency,155.196044921875,155.86305236816406,147.1983642578125,149.135009765625,2676164880,-0.0381345519552061,-0.0388807049960208,1.202587043922685,0.051988292,1.185175530969149,-0.8004340962241191
2019-01-03,GLD,Commodities,121.77999877929688,122.45999908447266,121.7300033569336,122.43000030517578,15440800,0.0090661704238064,0.0090253194231729,0.0923864293254941,0.051988292,0.0952592203837087,-0.8004340962241191
2019-01-03,IWM,Equities_US_Broad,122.29287897714454,122.9595452210424,120.22893234734585,120.77688598632812,29294600,-0.01789719331629,-0.0180592849834635,0.299100094259524,0.051988292,0.2919249377818981,-0.8004340962241191
2019-01-03,QQQ,Equities_US_Broad,145.86155588734673,146.49240078594133,142.8888854437508,143.20431518554688,74820200,-0.0326704567415793,-0.0332160522788264,0.3724961442682875,0.051988292,0.3644407697106499,-0.8004340962241191
2019-01-03,SLV,Commodities,14.6899995803833,14.789999961853027,14.630000114440918,14.75,12933200,0.0130494213535401,0.012965011197461,0.1261788201683691,0.051988292,0.1311146221035801,-0.8004340962241191
2019-01-03,SPY,Equities_US_Broad,222.63363352752896,222.93858465556823,218.54384243531663,219.0281677246093,144140700,-0.0238627527050925,-0.0241520802270345,0.2908499851684182,0.051988292,0.2860251724426889,-0.8004340962241191
2019-01-03,TLT,Fixed_Income,99.9578012428208,101.24109273248996,99.90876024198616,100.97953033447266,21187000,0.0113795963953544,0.0113153358349383,0.1003381549607174,0.051988292,0.0977533614007823,-0.8004340962241191
2019-01-03,URTH,Equities_Global,69.63236803846615,69.63236803846615,68.63927096201688,68.77227020263672,183500,-0.0167341694000455,-0.0168757675201878,0.2274495661548898,0.051988292,0.2232406935534074,-0.8004340962241191
2019-01-03,USO,Commodities,79.91999816894531,80.08000183105469,77.19999694824219,79.5999984741211,4027375,0.0101522257789485,0.0101010380892804,0.4851625684797582,0.051988292,0.484806783455994,-0.8004340962241191
2019-01-03,XLE,Sectors_US,21.18515165138812,21.261006081660263,20.6758411685456,20.914241790771484,36048200,-0.009917988624214,-0.0099674995110047,0.3426717303859313,0.051988292,0.3448821638733204,-0.8004340962241191
2019-01-03,XLF,Sectors_US,20.776754251205688,20.829044274322705,20.41072076484685,20.463010787963867,65729700,-0.0224811341375733,-0.0227376871938465,0.2834110475017973,0.051988292,0.273045426334534,-0.8004340962241191
2019-01-03,XLK,Sectors_US,28.2925833290716,28.311308167945043,27.52956489481726,27.567012786865234,49893400,-0.0504676559075302,-0.051785684968246,0.3915644443452748,0.051988292,0.3816523755245842,-0.8004340962241191
2019-01-03,XLV,Sectors_US,75.37930395373974,75.53833229134104,73.5504814415689,73.7448501586914,17668000,-0.0203052414901308,-0.0205142267429542,0.283040268761858,0.051988292,0.2855463402515329,-0.8004340962241191
2019-01-04,AGG,Fixed_Income,86.98915986463317,87.03809233263244,86.89944619174231,87.01362609863281,8149000,-0.002990142277622,-0.002994621684647,0.028429572748909,0.24535473,0.0274016442964406,0.8822513091844553
2019-01-04,BNB-USD,Cryptocurrency,5.895051956176758,6.065897941589356,5.863714218139648,6.06513786315918,29311136,0.0273739339176342,0.0270059678100029,0.9206911844303372,0.24535473,0.902887844898438,0.8822513091844553
2019-01-04,BTC-USD,Cryptocurrency,3832.0400390625,3865.9345703125,3783.853759765625,3857.717529296875,4847965467,0.0054672226262164,0.0054523316149208,0.7185884873266635,0.24535473,0.7188021182777226,0.8822513091844553
2019-01-04,DBA,Commodities,14.752090340071977,14.778154701178575,14.691275154579436,14.717339515686035,264400,-0.0017678359805269,-0.0017694004466388,0.0749463871511631,0.24535473,0.07662381495707,0.8822513091844553
2019-01-04,DIA,Equities_US_Broad,200.7362561152717,205.2571793171885,200.50060547705897,204.47169494628903,7343700,0.0333447795921713,0.0328008997863229,0.312519573484046,0.24535473,0.3086894821462433,0.8822513091844553
2019-01-04,EEM,Equities_Global,33.191463715555926,33.914683949889564,33.114887531819804,33.77003860473633,103055100,0.0322494997691242,0.0317404011814983,0.2161283025936055,0.24535473,0.2090809402796158,0.8822513091844553
2019-01-04,EFA,Equities_Global,47.809335523216056,48.650932828492735,47.73650466067615,48.480995178222656,47001700,0.0306210113010669,0.0301615441494082,0.1927749042178365,0.24535473,0.1840742423832237,0.8822513091844553
2019-01-04,ETH-USD,Cryptocurrency,148.9128875732422,156.8789825439453,147.9071044921875,154.58193969726562,3126192535,0.0365234825826665,0.0358723082884526,1.1985494975357114,0.24535473,1.1909852054443206,0.8822513091844553
2019-01-04,GLD,Commodities,121.31999969482422,121.5999984741211,120.69000244140624,121.44000244140624,13334000,-0.0080862359005293,-0.0081191068273532,0.0986663552940406,0.24535473,0.0996642252861189,0.8822513091844553
2019-01-04,IWM,Equities_US_Broad,122.3020389458252,125.662795217394,122.11026487572065,125.28836059570312,35355300,0.0373537914356036,0.0366730392745176,0.3063013239466652,0.24535473,0.3010041100242577,0.8822513091844553
2019-01-04,QQQ,Equities_US_Broad,145.61301184560864,150.06724044455302,145.03951521911114,149.33123779296875,74709300,0.0427844831315546,0.0418945229622384,0.3900296743837081,0.24535473,0.3845176461207614,0.8822513091844553
2019-01-04,SLV,Commodities,14.729999542236328,14.789999961853027,14.630000114440918,14.729999542236328,17854300,-0.001355963238215,-0.0013568833882539,0.1262641249463106,0.24535473,0.1322416355715345,0.8822513091844553
2019-01-04,SPY,Equities_US_Broad,222.0595916892461,227.01039710544208,221.68290190659857,226.36463928222656,142628800,0.0334955619354016,0.0329468059218557,0.3048692168511935,0.24535473,0.3013350570726039,0.8822513091844553
2019-01-04,TLT,Fixed_Income,99.99867124394152,100.17849657008912,99.4346810000983,99.81067657470705,12970200,-0.0115751554388701,-0.0116426690432314,0.1008327864703064,0.24535473,0.0994528441928411,0.8822513091844553
2019-01-04,URTH,Equities_Global,69.81857227771177,70.98901292541272,69.75650371173393,70.86487579345703,135300,0.0304280429401919,0.0299742915839811,0.2394576663134859,0.24535473,0.2348595401410075,0.8822513091844553
2019-01-04,USO,Commodities,81.36000061035156,83.12000274658203,80.4800033569336,81.44000244140625,4864513,0.0231156281728242,0.0228525090991826,0.4959083281080237,0.24535473,0.4898511687415408,0.8822513091844553
2019-01-04,XLE,Sectors_US,21.27545952705107,21.69085390950616,21.152646975299326,21.62583541870117,42703000,0.034024356945308,0.0334583318487479,0.3612224334177026,0.24535473,0.3580251759480605,0.8822513091844553
2019-01-04,XLF,Sectors_US,20.811610150300407,21.18635885341306,20.75932013613363,21.142784118652344,64638400,0.0332196145392402,0.0326797663210997,0.2802082932537267,0.24535473,0.2763432479781147,0.8822513091844553
2019-01-04,XLK,Sectors_US,28.072572105371098,28.91048809100743,27.98363001552615,28.788780212402344,41535600,0.0443199063671941,0.0433658662456523,0.4141052555793886,0.24535473,0.4116200353313351,0.8822513091844553
2019-01-04,XLV,Sectors_US,74.61066954968057,76.35998134967946,74.5753359089027,75.94474029541016,16262600,0.0298311018597883,0.0293948100186503,0.3031886174267755,0.24535473,0.3021709740906054,0.8822513091844553
